Cocos nucifera;Kokosovník ořechoplodý
Juglans regia;Ořešák královský
Corylus avellana;Líska obecná
Corylus colurna;Líska turecká
Olea europaea;Olivovník evropský
Brassica napus;Brukev řepka
Helianthus annuus;Slunečnice roční
Linum usitatissimum;Len setý
Papaver somniferum;Mák setý
Papaver rhoeas;Mák vlčí
Ricinus communis;Skočec obecný
Camelina sativa;Lnička setá
Sinapis alba;Hořčice setá
Sinapis arvensis;Hořčice polní
Sesamum indicum;Sezam indický
Elaeis guineensis;Palma olejná
Gossypium hirsutum;Bavlník chlupatý
Gossypium barbadense;Bavlník keřovitý
Gossypium herbaceum;Bavlník bylinný
Gossypium arboreum;Bavlník stromový
Arachis hypogaea;Podzemnice olejná
Glycine max;Sója luštinatá
Zea mays;Kukuřice setá
